month end, month positive, month high, month low
8/31/2015, -1, 08/07/2015, 08/08/2015
9/30/2015, -1, 09/01/2015, 09/28/2015
10/31/2015, +1, 10/29/2015, 10/20/2015
11/30/2015, -1, 11/01/2015, 11/11/2015
12/31/2015, +1, 12/15/2015, 12/09/2015
1/31/2016, +1, 01/28/2016, 01/02/2016
2/29/2016, +1, 02/28/2016, 02/01/2016
3/31/2016, +1, 03/13/2016, 03/01/2016
4/30/2016, -1, 04/01/2016, 04/28/2016
5/31/2016, +1, 05/19/2016, 05/01/2016
6/30/2016, -1, 06/16/2016, 06/18/2016
7/31/2016, -1, 07/22/2016, 07/07/2016
8/31/2016, +1, 08/09/2016, 08/02/2016
9/30/2016, +1, 09/20/2016, 09/08/2016
10/31/2016, -1, 10/03/2016, 10/29/2016
11/30/2016, -1, 11/04/2016, 11/29/2016
12/31/2016, -1, 12/07/2016, 12/05/2016
1/31/2017, +1, 01/04/2017, 01/01/2017
2/28/2017, +1, 02/28/2017, 02/01/2017
3/31/2017, +1, 03/24/2017, 03/08/2017
4/30/2017, +1, 04/30/2017, 04/07/2017
5/31/2017, +1, 05/30/2017, 05/01/2017
6/30/2017, +1, 06/12/2017, 06/01/2017
7/31/2017, -1, 07/02/2017, 07/16/2017
8/31/2017, +1, 08/31/2017, 08/02/2017
9/30/2017, -1, 09/01/2017, 09/14/2017
10/31/2017, -1, 10/13/2017, 10/23/2017
11/30/2017, +1, 11/27/2017, 11/02/2017
12/31/2017, +1, 12/19/2017, 12/06/2017
1/31/2018, +1, 01/13/2018, 01/01/2018
2/28/2018, -1, 02/01/2018, 02/05/2018
3/31/2018, -1, 03/01/2018, 03/29/2018
4/30/2018, +1, 04/24/2018, 04/06/2018
5/31/2018, -1, 05/05/2018, 05/28/2018
6/30/2018, -1, 06/03/2018, 06/28/2018
7/31/2018, -1, 07/17/2018, 07/31/2018
8/31/2018, -1, 08/01/2018, 08/22/2018
9/30/2018, -1, 09/01/2018, 09/12/2018
10/31/2018, -1, 10/01/2018, 10/11/2018
11/30/2018, -1, 11/06/2018, 11/26/2018
12/31/2018, +1, 12/24/2018, 12/14/2018
1/31/2019, -1, 01/06/2019, 01/29/2019
2/28/2019, +1, 02/23/2019, 02/06/2019
3/31/2019, +1, 03/29/2019, 03/04/2019
4/30/2019, +1, 04/08/2019, 04/01/2019
5/31/2019, +1, 05/28/2019, 05/01/2019
6/30/2019, +1, 06/26/2019, 06/09/2019
7/31/2019, -1, 07/08/2019, 07/16/2019
8/31/2019, -1, 08/05/2019, 08/29/2019
9/30/2019, +1, 09/19/2019, 09/26/2019
10/31/2019, +1, 10/09/2019, 10/23/2019
11/30/2019, -1, 11/06/2019, 11/24/2019
12/31/2019, -1, 12/08/2019, 12/17/2019
1/31/2020, +1, 01/30/2020, 01/02/2020
2/29/2020, +1, 02/14/2020, 02/01/2020
3/31/2020, -1, 03/06/2020, 03/16/2020
4/30/2020, +1, 04/29/2020, 04/01/2020
5/31/2020, +1, 05/30/2020, 05/11/2020
6/30/2020, -1, 06/10/2020, 06/27/2020
7/31/2020, +1, 07/31/2020, 07/03/2020
8/31/2020, +1, 08/31/2020, 08/02/2020
9/30/2020, -1, 09/01/2020, 09/23/2020
10/31/2020, +1, 10/22/2020, 10/07/2020
11/30/2020, +1, 11/30/2020, 11/02/2020
12/31/2020, +1, 12/30/2020, 12/11/2020
1/31/2021, +1, 01/24/2021, 01/01/2021
2/28/2021, +1, 02/19/2021, 02/01/2021
3/31/2021, +1, 03/31/2021, 03/02/2021
4/30/2021, +1, 04/30/2021, 04/01/2021
5/31/2021, -1, 05/11/2021, 05/23/2021
6/30/2021, -1, 06/03/2021, 06/25/2021
7/31/2021, +1, 07/31/2021, 07/20/2021
8/31/2021, +1, 08/31/2021, 08/03/2021
9/30/2021, -1, 09/05/2021, 09/21/2021
10/31/2021, +1, 10/29/2021, 10/01/2021
11/30/2021, +1, 11/08/2021, 11/18/2021
12/31/2021, -1, 12/01/2021, 12/29/2021
1/31/2022, -1, 01/02/2022, 01/22/2022
